Ideal Composition
Civ,Composition
Armenians,Coming soon
Aztecs,Eagle Warrior + Skirmisher + Monk + Trebuchet
Bengalis,Ratha + Halberdier/Skirmisher/Light Cav + Elephants/Trebuchet
Berbers,Camel Archer + Hussar + Bombard Cannon/Trebuchet
Bohemians,Halberdier + Houfnice + Arbalester
Britons,Longbowman/Arbalester + Halberdier + Trebuchet
Bulgarians,Hussar + Siege Onager/Ram + Halberdier
Burgundians,Coustillier + Hand Cannoneer + Bombard Cannon/Trebuchet (+Flemish Rev if 140+ vills)
Burmese,Halberdier + Arambai + Monk + Bombard Cannon/Trebuchet
Byzantines,Halberdier + Skirmisher + Monk + Bombard Cannon/Trebuchet + Cataphract/Heavy Camel/Hand Cannoneer (depending on enemy)
Celts,Halberdier + Siege Onager + Siege Ram + Trebuchet
Chinese,Chu Ko Nu/Arbalester + Light Cav + Trebuchet
Cumans,Elite Kipchak + Hussar + Trebuchet
Dravidians,Skirmisher + Halberdier/Champion/Urumi Swordsman + Bombard Cannon (+Arbalester if needed)
Ethiopians,Arbalester + Halberdier + Bombard Cannon
Franks,Paladin spam + Skirmisher/Hand Cannoneer/Throwing Axeman (vs Halberdier) + strong Castle push/Imp with 4+ Relics
Georgians,Coming soon
Goths,Halberdier + Huskarl spam + Bombard Cannon/Trebuchet if needed
Gurjaras,Chakram Thrower + Shrivamsha Rider/Hussar + Bombard Cannon/Trebuchet
Hindustanis,1) Hand Cannoneer + Hussar + Bombard Cannon/Trebuchet 2) Imperial Camel + Skirmisher + Bombard Cannon/Trebuchet
Huns,Heavy Cav Archer + Hussar + Trebuchet
Incas,Kamayuk (vs cav civ)/Elite Eagle (vs archer civ) + Skirmisher + Trebuchet/Siege Ram
Italians,Genoese Crossbowman + Hussar + Bombard Cannon
Japanese,Halberdier + Arbalester + Yasama Tower + Trebuchet
Jurchens,Coming soon
Khitans,Coming soon
Khmer,Hussar spam + Heavy Scorpion/Ballista Elephant/Arbalester + Trebuchet
Koreans,Halberdier + Arbalester/War Wagon (if enough res) + Tower + Bombard Cannon/Trebuchet
Lithuanians,Elite Leitis (with Relics) + Skirmisher + Bombard Cannon/Trebuchet
Magyars,Heavy Cav Archer + Magyar Hussar + Trebuchet
Malay,Halberdier + Arbalester + Bombard Cannon
Malians,Cavalier/Light Cav/Heavy Camel + Gbeto/Hand Cannoneer + Bombard Cannon
Mayans,Halberdier/Elite Eagle + Arbalester/Plumed Archer + Siege Ram/Trebuchet
Mongols,Mangudai + Hussar + Siege Ram/Onager
Persians,Paladin (no Elephants) + Crossbowman/Skirmisher + Bombard Cannon/Trebuchet
Poles,1) Winged Hussar + Arbalester + Bombard Cannon/Trebuchet 2) Obuch + Skirmisher + Bombard Cannon/Trebuchet
Portuguese,Arbalester/Organ Gun + Light Cav/Halberdier + Bombard Cannon + Feitoria + Bombard Tower
Romans,Coming soon
Saracens,1) Arbalester/Heavy Cav Archer + Light Cav + Bombard Cannon/Trebuchet 2) Heavy Camel + Skirmisher + Bombard Cannon/Trebuchet 3) Mameluke spam (vs cav civ) + Bombard Cannon/Trebuchet
Shu,Coming soon
Sicilians,Cavalier (w/UT)/Serjeant + Skirmisher + Trebuchet
Slavs,Halberdier + Hussar + Siege Onager/Ram
Spanish,Supremacy Bombard Tower + Halberdier + Hussar
Tatars,1) Heavy Cav Archer + Hussar + Trebuchet 2) Keshik + Skirmisher + Trebuchet
Teutons,Halberdier + Monk + Siege Onager/Bombard Cannon/Trebuchet
Turks,Heavy Cav Archer + Hussar + Bombard Cannon
Vietnamese,Rattan Archer + Halberdier + Bombard Cannon
Vikings,Skirmisher + Berserker + Siege Ram/Trebuchet
Wei,Coming soon
Wu,Coming soon
